Kajitani TGA Data (2010),,,,,,,,,,,,,Qin TGA Data (2013),,,,,,,,,,,,Abian TGA Data (2012),,,,,,,,,,,,,Otto TGA Data (1980),,,,,
Data Reported,,,,,Assumptions,Data Derived,,,,,,,Data Reported,,,Assumptions,Data Derived,,,,,,,,Data Reported,,,Assumptions,Data Derived,,,,,,,,,Data Reported,,,Data Derived,,
Temperature (C),Time (min),Conversion Ratio,Mass Converted (kg),CO2 Partial Pressure (MPa),,Rate (kg s^-1),Volume of Soot (m^3),Surface Area,Temperature (K),Rate (kg m^-2 s^-1),H2O Partial Pressure (Pa),,Temperature (C),TG (%),,,Rate (kg s^-1),Mass Remaining (kg),Volume (m^3),Surface Area (m^2),Temperature (K),Rate (kg m^-2 s^-1),H2O Partial Pressure (Pa),,Temperature (K),Rate (s^-1),,,Rate (kg s^-1),Time (s),Mass Remaining (kg),Volume (m^3),Surface Area (m^2),Temperature (K),Rate (kg m^-2 s^-1),H2O Partial Pressure (Pa),,Temperature (C),Rate (ug m^-2 min^-1),CO2 Partial Pressure (atm),Temperature (K),Rate (kg m^-2 s^-1),CO2 Partial Pressure (Pa)
850 C,,,,,,,,,,,,,10% CO2,,,,,,,,,,,,90% CO2,,,,,,,,,,,,,887.6,28.298,0.026,1160.77,4.71629E-10,2634.45
850,0,0,0,0.1,Particle Diameter (m),1.17E-10,5.40541E-10,6.49E-02,1123.15,1.80E-09,100000,,33.67,102.70,Heating Rate (C/min),Particle Diameter (m),5.21845E-11,1.03E-06,5.55153E-10,6.60E-02,306.82,7.90E-10,10132.5,,1132.93,0,,,0,0,0.0000035,1.89E-09,2.27E-01,1132.93,0.00E+00,91192.5,,865.1,11.658,0.026,1138.21,1.94304E-10,2634.45
850,18.78077374,0.131766109,1.31766E-07,0.1,5.00E-08,1.16E-10,4.69316E-10,5.90E-02,1123.15,1.96E-09,100000,,107.23,99.63,7.5,5.00E-08,3.40205E-11,9.96E-07,5.38551E-10,6.47E-02,380.38,5.26E-10,10132.5,,1199.83,0.0000363,Heating Rate (K/min),Particle Diameter (m),1.26952E-10,401.3722127,3.44904E-06,1.86E-09,2.25E-01,1199.83,5.65E-10,91192.5,,850.8,3.362,0.026,1123.93,5.60259E-11,2634.45
850,39.24970692,0.272316489,2.72316E-07,0.1,Density (kg m^-3),1.14E-10,3.93342E-10,5.25E-02,1123.15,2.18E-09,100000,,205.74,98.38,Sample Size (kg),Soot Density (kg m^-3),1.27497E-11,9.84E-07,5.31797E-10,6.42E-02,478.89,1.99E-10,10132.5,,1252.32,0.0000151,10,5.00E-08,5.28967E-11,716.2950257,3.43239E-06,1.86E-09,2.24E-01,1252.32,2.36E-10,91192.5,,823.2,1.169,0.026,1096.36,1.94759E-11,2634.45
850,58.45252052,0.404082598,4.04083E-07,0.1,1850,1.14E-10,3.22118E-10,4.59E-02,1123.15,2.48E-09,100000,,288.03,97.75,1.00E-06,1850,8.98136E-12,9.77E-07,5.28366E-10,6.39E-02,561.18,1.41E-10,10132.5,,1303.77,0.0001179,Sample Size (kg),Soot Density (kg m^-3),4.12594E-10,1025.042882,3.305E-06,1.79E-09,2.19E-01,1303.77,1.89E-09,91192.5,,792.5,0.391,0.026,1065.65,6.51819E-12,2634.45
850,79.34349355,0.546391477,5.46391E-07,0.1,Particle Surface Area (m^2),1.13E-10,2.45194E-10,3.83E-02,1123.15,2.94E-09,100000,,384.04,97.11,,Particle Surface Area (m^2),2.67144E-11,9.71E-07,5.24911E-10,6.36E-02,657.19,4.20E-10,10132.5,,1351.11,0.0003325,0.0000035,1850,1.16373E-09,1309.090909,2.97444E-06,1.61E-09,2.04E-01,1351.11,5.71E-09,91192.5,,861.2,16.049,0.026,1134.37,2.67479E-10,2634.45
850,100.0234467,0.685189527,6.8519E-07,0.1,3.14E-14,1.09E-10,1.70168E-10,3.00E-02,1123.15,3.62E-09,100000,,486.28,93.42,,7.85E-15,4.8215E-11,9.34E-07,5.04967E-10,6.20E-02,759.43,7.78E-10,10132.5,,1401.54,0.0003325,,Particle Surface Area (m^2),1.16373E-09,1611.663808,2.62233E-06,1.42E-09,1.87E-01,1401.54,6.21E-09,91192.5,,862.5,15.751,0.026,1135.64,2.62523E-10,2634.45
850,119.2262603,0.806429321,8.06429E-07,0.1,Particle Volume (m^3),9.30E-11,1.04633E-10,2.17E-02,1123.15,4.28E-09,100000,,591.02,89.12,,Particle Volume (m^3),6.55256E-11,8.91E-07,4.81723E-10,6.01E-02,864.17,1.09E-09,10132.5,,1448.89,0.0004353,,7.85E-15,1.52343E-09,1895.711835,2.18961E-06,1.18E-09,1.66E-01,1448.89,9.17E-09,91192.5,,845.6,7.548,0.026,1118.74,1.25798E-10,2634.45
850,137.3739742,0.894325497,8.94325E-07,0.1,5.24E-22,6.58E-11,5.71214E-11,1.45E-02,1123.15,4.54E-09,100000,,720.70,80.85,,6.54E-23,1.2673E-10,8.08E-07,4.37013E-10,5.63E-02,993.85,2.25E-09,10132.5,,1501.37,0.0007557,,Particle Volume (m^3),2.64484E-09,2210.634648,1.35669E-06,7.33E-10,1.21E-01,1501.37,2.19E-08,91192.5,,824.4,2.017,0.026,1097.53,3.36203E-11,2634.45
850,156.3657679,0.952405339,9.52405E-07,0.1,Number of Particles,4.12E-11,2.57268E-11,8.52E-03,1123.15,4.84E-09,100000,,804.24,69.24,,# of Particles,3.35388E-10,6.92E-07,3.74252E-10,5.08E-02,1077.39,6.61E-09,10132.5,,1552.83,0.0009582,,6.54E-23,3.35365E-09,2519.382504,3.21253E-07,1.74E-10,4.62E-02,1552.83,7.26E-08,91192.5,,793.0,0.965,0.026,1066.11,1.60885E-11,2634.45
850,169.4490035,0.97709426,9.77094E-07,0.1,8.26E+12,2.57E-11,1.23815E-11,5.23E-03,1123.15,4.91E-09,100000,,854.11,49.40,,8.26E+12,9.67867E-10,4.94E-07,2.6705E-10,4.05E-02,1127.26,2.39E-08,10132.5,,1581.65,0.000498741,,# of Particles,1.74559E-09,2692.281304,1.94426E-08,1.05E-11,7.12E-03,1581.65,2.45E-07,91192.5,,,,,,,
850,179.7889801,0.989475741,9.89476E-07,0.1,,2.00E-11,5.68879E-12,3.12E-03,1123.15,6.41E-09,100000,,875.31,25.01,,,1.62372E-09,2.50E-07,1.35176E-10,2.57E-02,1148.46,6.31E-08,10132.5,,1598.11,5.44081E-05,,2.89E+13,1.90428E-10,2791.080617,6.2847E-10,3.40E-13,7.23E-04,1598.11,2.64E-07,91192.5,,,,,,,
950 C,,,,,,,,,,,,,890.27,3.36,,,9.42772E-10,3.36E-08,1.81443E-11,6.75E-03,1163.42,1.40E-07,10132.5,,50% CO2,,,,,,,,,,,,,,,,,,
950,0,0,0,0.1,Initial Mass of Soot (kg),1.17E-10,5.40541E-10,6.49E-02,1223.15,1.81E-09,100000,,940.15,0.29,,,7.67912E-11,2.93E-09,1.58223E-12,1.33E-03,1213.30,5.79E-08,10132.5,,1155.574614,9.06801E-06,,,0,0,0.0000035,1.89E-09,2.27E-01,1155.57,0.00E+00,50662.5,,,,,,,
950,7.005076142,0.049335863,4.93359E-08,0.1,0.000001,1.24E-10,5.13873E-10,6.27E-02,1223.15,1.98E-09,100000,,50% CO2,,,,,,,,,,,,1196.740995,2.11587E-05,,,7.40554E-11,246.9982847,3.48171E-06,1.88E-09,2.26E-01,1196.74,3.27E-10,50662.5,,,,,,,
950,15.2284264,0.113851992,1.13852E-07,0.1,,1.29E-10,4.78999E-10,5.98E-02,1223.15,2.15E-09,100000,,32.42,100.26,,,3.06698E-11,1.00E-06,5.41971E-10,6.50E-02,305.57,4.72E-10,50662.5,,1256.432247,2.7204E-05,,,9.52141E-11,605.1457976,3.44761E-06,1.86E-09,2.25E-01,1256.43,4.24E-10,50662.5,,,,,,,
950,24.21319797,0.182163188,1.82163E-07,0.1,,1.35E-10,4.42074E-10,5.67E-02,1223.15,2.38E-09,100000,,170.82,96.87,,,1.70418E-11,9.69E-07,5.23615E-10,6.35E-02,443.97,2.68E-10,50662.5,,1296.569468,9.97481E-05,,,3.49118E-10,845.9691252,3.36353E-06,1.82E-09,2.21E-01,1296.57,1.58E-09,50662.5,,,,,,,
950,35.02538071,0.275142315,2.75142E-07,0.1,,1.57E-10,3.91815E-10,5.23E-02,1223.15,3.00E-09,100000,,331.67,96.43,,,5.18308E-12,9.64E-07,5.2124E-10,6.33E-02,604.82,8.19E-11,50662.5,,1349.056604,0.000238791,,,8.35768E-10,1160.891938,3.10033E-06,1.68E-09,2.09E-01,1349.06,3.99E-09,50662.5,,,,,,,
950,45.2284264,0.379506641,3.79507E-07,0.1,,1.87E-10,3.35402E-10,4.72E-02,1223.15,3.97E-09,100000,,431.42,95.87,,,2.32591E-11,9.59E-07,5.18241E-10,6.31E-02,704.57,3.69E-10,50662.5,,1405.660377,0.000341562,,,1.19547E-09,1500.51458,2.69432E-06,1.46E-09,1.91E-01,1405.66,6.27E-09,50662.5,,,,,,,
950,54.36548223,0.491461101,4.91461E-07,0.1,,2.20E-10,2.74886E-10,4.13E-02,1223.15,5.32E-09,100000,,528.68,92.80,,,4.95515E-11,9.28E-07,5.01601E-10,6.17E-02,801.83,8.03E-10,50662.5,,1445.797599,0.000323426,,,1.13199E-09,1741.337907,2.42171E-06,1.31E-09,1.78E-01,1445.80,6.37E-09,50662.5,,,,,,,
950,63.35025381,0.618595825,6.18596E-07,0.1,,2.51E-10,2.06164E-10,3.41E-02,1223.15,7.36E-09,100000,,605.99,89.11,,,5.81721E-11,8.91E-07,4.81698E-10,6.01E-02,879.14,9.68E-10,50662.5,,1496.226415,0.000480605,,,1.68212E-09,2043.910806,1.91275E-06,1.03E-09,1.52E-01,1496.23,1.11E-08,50662.5,,,,,,,
950,71.4213198,0.747628083,7.47628E-07,0.1,,2.55E-10,1.36417E-10,2.59E-02,1223.15,9.84E-09,100000,,687.03,85.43,,,7.61381E-11,8.54E-07,4.61788E-10,5.84E-02,960.18,1.30E-09,50662.5,,1545.626072,0.000746599,,,2.6131E-09,2340.308748,1.13823E-06,6.15E-10,1.07E-01,1545.63,2.43E-08,50662.5,,,,,,,
950,80.25380711,0.876660342,8.7666E-07,0.1,,1.82E-10,6.66701E-11,1.61E-02,1223.15,1.13E-08,100000,,743.14,81.15,,,2.00745E-10,8.11E-07,4.38624E-10,5.64E-02,1016.29,3.56E-09,50662.5,,1604.288165,0.000746599,,,2.6131E-09,2692.281304,2.18494E-07,1.18E-10,3.57E-02,1604.29,7.31E-08,50662.5,,,,,,,
950,91.52284264,0.958254269,9.58254E-07,0.1,,7.92E-11,2.25653E-11,7.81E-03,1223.15,1.01E-08,100000,,790.52,69.55,,,5.09782E-10,6.95E-07,3.75922E-10,5.09E-02,1063.67,1.00E-08,50662.5,,1649.571184,1.20907E-05,,,4.23174E-11,2963.979417,2.06996E-07,1.12E-10,3.45E-02,1649.57,1.23E-09,50662.5,,,,,,,
950,104.9238579,0.988614801,9.88615E-07,0.1,,2.55E-11,6.15416E-12,3.28E-03,1223.15,7.75E-09,100000,,820.45,52.46,,,1.05053E-09,5.25E-07,2.83586E-10,4.22E-02,1093.60,2.49E-08,50662.5,,10% CO2,,,,,,,,,,,,,,,,,,
950,116.9543147,0.998102467,9.98102E-07,0.1,,1.31E-11,1.02569E-12,9.94E-04,1223.15,1.32E-08,100000,,836.66,34.47,,,1.76369E-09,3.45E-07,1.86328E-10,3.19E-02,1109.81,5.53E-08,50662.5,,1202.915952,1.8136E-05,,,0,0,0.0000035,1.89E-09,2.27E-01,1202.92,0.00E+00,10132.5,,,,,,,
,,,,,,,,,,,,,845.39,19.53,,,1.80366E-09,1.95E-07,1.05562E-10,2.18E-02,1118.54,8.26E-08,50662.5,,1251.286449,6.04534E-06,,,2.11587E-11,290.2229846,3.49386E-06,1.89E-09,2.27E-01,1251.29,9.33E-11,10132.5,,,,,,,
,,,,,,,,,,,,,857.86,4.89,,,7.72872E-10,4.89E-08,2.64377E-11,8.68E-03,1131.01,8.91E-08,50662.5,,1297.598628,3.02267E-05,,,1.05793E-10,568.0960549,3.46446E-06,1.87E-09,2.25E-01,1297.60,4.69E-10,10132.5,,,,,,,
,,,,,,,,,,,,,921.45,0.91,,,4.21652E-11,9.08E-09,4.90904E-12,2.82E-03,1194.60,1.49E-08,50662.5,,1349.056604,6.34761E-05,,,2.22166E-10,876.8439108,3.39587E-06,1.84E-09,2.23E-01,1349.06,9.98E-10,10132.5,,,,,,,
,,,,,,,,,,,,,988.78,0.58,,,6.0411E-12,5.83E-09,3.15008E-12,2.10E-03,1261.93,2.88E-09,50662.5,,1404.631218,0.000163224,,,5.71285E-10,1210.291595,3.20538E-06,1.73E-09,2.14E-01,1404.63,2.67E-09,10132.5,,,,,,,
,,,,,,,,,,,,,90% CO2,,,,,,,,,,,,1446.826758,0.000244836,,,8.56927E-10,1463.464837,2.98842E-06,1.62E-09,2.04E-01,1446.83,4.19E-09,10132.5,,,,,,,
,,,,,,,,,,,,,36.16,102.70,,,4.65155E-11,1.03E-06,5.55148E-10,6.60E-02,309.31,7.04E-10,91192.5,,1499.313894,0.000208564,,,7.29975E-10,1778.38765,2.75854E-06,1.49E-09,1.94E-01,1499.31,3.77E-09,10132.5,,,,,,,
,,,,,,,,,,,,,102.24,100.24,,,3.1387E-11,1.00E-06,5.41856E-10,6.50E-02,375.39,4.83E-10,91192.5,,1550.77187,0.000256927,,,8.99244E-10,2087.135506,2.4809E-06,1.34E-09,1.80E-01,1550.77,4.98E-09,10132.5,,,,,,,
