Chhiti Entrained Flow Reactor Data (2013),,,,,,,,,,,,,,,Neoh Premixed Flame Data (1980),,,,,,,Arnal Entrained Flow Reactor Data (2013),,,,,,,,,,,,,Otto TGA Data (1980),,,,,,,Xu Diffusion Flame Data (2003),,,,,
Data Reported,,,,,,Assumptions,Data Derived,,,,,,,,Data Reported,,,Data Derived,,,,Data Reported,,,,Assumptions,Data Derived,,,,,,,,Data Reported,,,Data Derived,,,,Data Reported,,,Data Derived,,
Temperature (C),Distance (m),Soot yield (inert) (g soot/g bio-oil),Soot yield (gas) (g soot/g bio-oil),H2O Partial Pressure,,,Total Surface area (m^2),Difference,Slope (g/g*m),Rate (g s^-1),Temperature (K),Rate (kg m^-2 s^-1),H2O Partial Pressure (Pa),,Temperature (K),H2O Collision Efficiency,H2O Partial Pressure (Pa),Temperature (K),Rate (kg m^-2 s^-1),H2O Partial Pressure (Pa),,Temperature (C),Time (s),Weight of Carbon (mg),H2O Partial Pressure (Pa),,Total Volume (m^3),Particles,Surface Area (m^2),Rate (kg/s),Temperature (K),Rate (kg m^-2 s^-1),H2O Partial Pressure (Pa),,Temperature (C),Rate (ug m^-2 min^-1),H2O Partial Pressure (atm),Temperature (K),Rate (kg m^-2 s^-1),H2O Partial Pressure (Pa),,Temperature (K),H2O Collision Efficiency,H2O Partial Pressure (Pa),Temperature (K),Rate (kg m^-2 s^-1),H2O Partial Pressure (Pa)
1100 C,,,,,,,,,,,,,,,1815,0.056558,23207.478,1815,0.38126193,23207.478,,3% H2O,,,,,,,,,,,,,887.6,84.89,0.026,1160.77,1.41489E-09,2634.45,,1840,0.000654,6.277630905,1840,1.18441E-06,6.277630905
1100,0,0,0,10132.5,Reactor Diam (mm),Particle Diameter (m),0.00E+00,0,-0.000710367,-1.1759E-05,1373.15,#DIV/0!,10132.5,,1812,0.063444,23111.21925,1812,0.426256459,23111.21925,,1000,225.2747253,4.239268948,3039.75,Particle Diameter (m),2.2915E-09,8.30E+13,3.67E-01,4.7641E-09,1273.15,1.30E-08,3039.75,,865.1,34.97,0.026,1138.21,5.82913E-10,2634.45,,1838,0.003236,27.0059496,1838,2.52251E-05,27.0059496
1100,0.1,0.000018596,8.96327E-05,10132.5,77,4.00E-08,3.63E-03,-7.10367E-05,-0.00358705,-5.93781E-05,1373.15,-1.63407E-05,10132.5,,1811,0.057370,22981.52325,1811,0.383389607,22981.52325,,1000,357.1428571,3.611036256,3039.75,3.75E-08,1.95191E-09,8.30E+13,3.29E-01,4.19807E-09,1273.15,1.27E-08,3039.75,,850.8,10.08,0.026,1123.93,1.68078E-10,2634.45,,1838,0.002567,21.99634028,1838,1.62983E-05,21.99634028
1100,0.2,0.000241748,0.000959158,10132.5,Cross Area (m^2),Density (g m^-3),3.89E-02,-0.00071741,-0.006430392,-0.000106445,1373.15,-2.73745E-06,10132.5,,1808,0.051852,22949.09925,1808,0.346315425,22949.09925,,1000,505.4945055,2.993687136,3039.75,Soot Density (kg m^-3),1.61821E-09,8.30E+13,2.91E-01,3.48074E-09,1273.15,1.20E-08,3039.75,,823.2,3.51,0.026,1096.36,5.84276E-11,2634.45,,1800,0.0048,47.75112878,1800,6.68539E-05,47.75112878
1100,0.3,0.000818224,0.002175339,10132.5,0.018626503,1850000,8.82E-02,-0.001357115,-0.00602593,-9.97501E-05,1373.15,-1.13109E-06,10132.5,,1804,0.032608,22884.25125,1804,0.217410355,22884.25125,,1000,648.3516484,2.616540029,3039.75,1850,1.41435E-09,8.30E+13,2.66E-01,2.74478E-09,1273.15,1.03E-08,3039.75,,792.5,1.17,0.026,1065.65,1.95546E-11,2634.45,,1800,0.00339,33.92107688,1800,3.35406E-05,33.92107688
1100,0.4,0.001469084,0.00339168,10132.5,Gas flow rate (L/min),Particle Surface Area (m^2),1.38E-01,-0.001922596,-0.00416769,-6.89897E-05,1373.15,-5.01742E-07,10132.5,,1800,0.032328,23013.94725,1800,0.217003472,23013.94725,,1000,785.7142857,2.239627818,3039.75,Particle Surface Area (m^2),1.21061E-09,8.30E+13,2.40E-01,2.45471E-09,1273.15,1.02E-08,3039.75,,861.2,48.15,0.026,1134.37,8.02438E-10,2634.45,,1800,0.000484,4.997886023,1800,7.05559E-07,4.997886023
1100,0.5,0.002157136,0.004347789,10132.5,18.5,2.01E-14,1.76E-01,-0.002190653,-0.001845035,-3.05417E-05,1373.15,-1.73275E-07,10132.5,,1797,0.032045,23046.37125,1797,0.215586095,23046.37125,,1000,928.5714286,1.915195568,3039.75,4.42E-15,1.03524E-09,8.30E+13,2.16E-01,2.34152E-09,1273.15,1.08E-08,3039.75,,862.5,47.25,0.026,1135.64,7.87569E-10,2634.45,,1790,0.013005,127.2701782,1790,0.000484115,127.2701782
1100,0.6,0.00288238,0.005173983,10132.5,Gas flow rate (m^3/s),Particle Volume (m^3),2.10E-01,-0.002291603,-0.000328825,-5.4432E-06,1373.15,-2.59501E-08,10132.5,,1792,0.023915,23046.37125,1792,0.16111459,23046.37125,,1000,1060.43956,1.622082951,3039.75,Particle Volume (m^3),8.76802E-10,8.30E+13,1.93E-01,1.86688E-09,1273.15,9.66E-09,3039.75,,845.6,22.64,0.026,1118.74,3.77395E-10,2634.45,,1790,0.00295,29.5844682,1790,2.55269E-05,29.5844682
1100,0.7,0.003570432,0.00582685,10132.5,0.000308333,2.68E-22,2.36E-01,-0.002256418,0.00112511,1.86245E-05,1373.15,7.88426E-08,10132.5,,1792,0.024254,23046.37125,1792,0.16340005,23046.37125,,1000,1197.802198,1.402317,3039.75,2.76E-23,7.58009E-10,8.30E+13,1.75E-01,1.50143E-09,1273.15,8.56E-09,3039.75,,824.4,6.05,0.026,1097.53,1.00861E-10,2634.45,,1780,0.003019,62.77630905,1780,5.55887E-05,62.77630905
1100,0.8,0.004239888,0.006306469,10132.5,Flow rate(m/s),,2.56E-01,-0.002066581,0.00233249,3.86108E-05,1373.15,1.5102E-07,10132.5,,1789,0.022450,23046.37125,1789,0.151375414,23046.37125,,1000,1340.659341,1.193101851,3039.75,,6.4492E-10,8.30E+13,1.57E-01,1.33341E-09,1273.15,8.47E-09,3039.75,,793.0,2.90,0.026,1066.11,4.82656E-11,2634.45,,1780,0.007993,30.2665881,1780,7.0958E-05,30.2665881
